  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

  0.00,  0.28,  0.55,  0.80,  1.01,  1.17,  1.29,  1.35,  1.35,  1.29,  1.17,  1.01,  0.80,  0.55,  0.28,  0.00

  0.00,  0.26,  0.52,  0.74,  0.94,  1.10,  1.20,  1.26,  1.26,  1.20,  1.10,  0.94,  0.74,  0.52,  0.26,  0.00

  0.00,  0.23,  0.46,  0.66,  0.83,  0.97,  1.07,  1.12,  1.12,  1.07,  0.97,  0.83,  0.66,  0.46,  0.23,  0.00

  0.00,  0.19,  0.38,  0.55,  0.69,  0.80,  0.88,  0.92,  0.92,  0.88,  0.80,  0.69,  0.55,  0.38,  0.19,  0.00

  0.00,  0.14,  0.28,  0.41,  0.52,  0.60,  0.66,  0.69,  0.69,  0.66,  0.60,  0.52,  0.41,  0.28,  0.14,  0.00

  0.00,  0.09,  0.17,  0.25,  0.32,  0.37,  0.41,  0.43,  0.43,  0.41,  0.37,  0.32,  0.25,  0.17,  0.09,  0.00

  0.00,  0.03,  0.06,  0.09,  0.11,  0.13,  0.14,  0.14,  0.14,  0.14,  0.13,  0.11,  0.09,  0.06,  0.03,  0.00

  0.00, -0.03, -0.06, -0.09, -0.11, -0.13, -0.14, -0.14, -0.14, -0.14, -0.13, -0.11, -0.09, -0.06, -0.03,  0.00

  0.00, -0.09, -0.17, -0.25, -0.32, -0.37, -0.41, -0.43, -0.43, -0.41, -0.37, -0.32, -0.25, -0.17, -0.09,  0.00

  0.00, -0.14, -0.28, -0.41, -0.52, -0.60, -0.66, -0.69, -0.69, -0.66, -0.60, -0.52, -0.41, -0.28, -0.14,  0.00

  0.00, -0.19, -0.38, -0.55, -0.69, -0.80, -0.88, -0.92, -0.92, -0.88, -0.80, -0.69, -0.55, -0.38, -0.19,  0.00

  0.00, -0.23, -0.46, -0.66, -0.83, -0.97, -1.07, -1.12, -1.12, -1.07, -0.97, -0.83, -0.66, -0.46, -0.23,  0.00

  0.00, -0.26, -0.52, -0.74, -0.94, -1.10, -1.20, -1.26, -1.26, -1.20, -1.10, -0.94, -0.74, -0.52, -0.26,  0.00

  0.00, -0.28, -0.55, -0.80, -1.01, -1.17, -1.29, -1.35, -1.35, -1.29, -1.17, -1.01, -0.80, -0.55, -0.28,  0.00

  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

